"date","price"
01,01,149.24
02,02,159.99
03,03,161.51
04,04,149.83
05,05,169.00
06,06,172.16
07,07,171.00
08,08,169.99
09,09,174.68
10,10,185.20
11,11,179.99
12,12,171.72
13,01,186.53
14,02,186.99
15,03,192.28
16,04,193.11
17,05,196.32
18,06,200.81
19,07,208.22
20,08,212.27
21,09,222.21
22,10,240.13
23,11,233.37
24,12,217.63
25,01,251.89
26,02,246.17
27,03,236.65
28,04,262.88
29,05,262.88
30,06,262.88
01,07,262.88
02,08,262.88
03,09,262.88
04,10,262.88
05,11,263.09
06,12,263.13
07,01,264.11
08,02,264.70
09,03,264.70
10,04,264.83
11,05,265.20
12,06,265.20
13,07,265.20
14,08,265.90
15,09,266.17
16,10,266.91
17,11,261.01
18,12,267.99
19,01,271.12
20,02,275.46
21,03,276.90
22,04,278.93
23,05,282.98
24,06,285.76
25,07,268.41
26,08,238.20
27,09,274.15
28,10,307.41
29,11,315.56
01,12,193.11
02,01,274.80
03,02,292.75
04,03,316.08
05,04,381.24
06,05,398.25
07,06,392.02
08,07,447.12
09,08,426.37
10,09,431.00
11,10,193.99
12,11,204.36
13,12,262.88
14,01,262.88
15,02,263.09
16,03,263.13
17,04,264.70
18,05,265.20
19,06,266.17
20,07,309.78
21,08,236.10
22,09,262.88
23,10,262.88
24,11,262.88
25,12,264.70
26,01,264.70
27,02,264.70
28,03,265.20
29,04,394.67
