"month","price","item"
01,149.24,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,159.99,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,161.51,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,149.83,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,169.00,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,172.16,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
07,171.00,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,169.99,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,174.68,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,185.20,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,179.99,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,171.72,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,186.53,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,186.99,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,192.28,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,193.11,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,196.32,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,200.81,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
07,208.22,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
08,212.27,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
09,222.21,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
10,240.13,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
11,233.37,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
12,217.63,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
01,251.89,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
02,246.17,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
03,236.65,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
04,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
05,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
06,262.88,"asus-geforce-gtx750ti-oc-2gd5-performance-graphics-gddr5-2gb"
